410.08892796568,882.436484713036,1.1.1,KeyCloak: 2, Ping: 2, OpenText Encase Endpoint Security/Manager: 1, Microsoft Sysmon: 0, Tychon: 2, Forescout: 0.0, Trellix: 0, Cisco Stealth Watch: 0, Cisco Identity Service Engine (ISE): 1, DISA CSSP: 0, Security Onion: 0, Microsoft Endpoint Configuration Manager (MECM): 0, Microsoft Advanced Threat Analytics: 0, ZeroFOX Executive Protection: 0.0, DomainTools Enterprise Membership: 0, PortSwigger Burp Suite: 0, ThreatQuotient Threat Intelligence Platform: 0, Splunk SIEM Enterprise Security: 0, ArcSight AreSight Enterprise Security Manager Maintenance and Support: 0, Gigamon Network Taps: 0, Swimlane SOAR: 0, LiveAction: 0, RecordedFuture Threat Intelligence: 0, Titus for Office: 0, Fortinet FortiGate: 0, F5 Networks BIG-IP: 1, SCOM: 0, Varonis: 0, Riverbed: 0, Solarwinds: 0, BMC Remedy: 0, Nagios: 0.0, Archsite: 0, NetApp: 0, VMWare: 0
708.6988295746503,902.6016446739338,1.2.1,KeyCloak: 2, Ping: 2, OpenText Encase Endpoint Security/Manager: 0, Microsoft Sysmon: 0, Tychon: 2, Forescout: 0.0, Trellix: 0, Cisco Stealth Watch: 0, Cisco Identity Service Engine (ISE): 1, DISA CSSP: 0, Security Onion: 0, Microsoft Endpoint Configuration Manager (MECM): 0, Microsoft Advanced Threat Analytics: 0, ZeroFOX Executive Protection: 0.0, DomainTools Enterprise Membership: 0, PortSwigger Burp Suite: 0, ThreatQuotient Threat Intelligence Platform: 0, Splunk SIEM Enterprise Security: 0, ArcSight AreSight Enterprise Security Manager Maintenance and Support: 0, Gigamon Network Taps: 0, Swimlane SOAR: 0, LiveAction: 0, RecordedFuture Threat Intelligence: 0, Titus for Office: 1, Fortinet FortiGate: 1, F5 Networks BIG-IP: 2, SCOM: 0, Varonis: 0, Riverbed: 0, Solarwinds: 0, BMC Remedy: 0, Nagios: 0.0, Archsite: 1, NetApp: 1, VMWare: 1
711.7339423351414,883.2480397781602,1.2.2,KeyCloak: 2, Ping: 2, OpenText Encase Endpoint Security/Manager: 0, Microsoft Sysmon: 0, Tychon: 2, Forescout: 0.0, Trellix: 0, Cisco Stealth Watch: 0, Cisco Identity Service Engine (ISE): 0, DISA CSSP: 0, Security Onion: 0, Microsoft Endpoint Configuration Manager (MECM): 0, Microsoft Advanced Threat Analytics: 1, ZeroFOX Executive Protection: 0.0, DomainTools Enterprise Membership: 0, PortSwigger Burp Suite: 0, ThreatQuotient Threat Intelligence Platform: 0, Splunk SIEM Enterprise Security: 0, ArcSight AreSight Enterprise Security Manager Maintenance and Support: 0, Gigamon Network Taps: 0, Swimlane SOAR: 0, LiveAction: 0, RecordedFuture Threat Intelligence: 0, Titus for Office: 0, Fortinet FortiGate: 1, F5 Networks BIG-IP: 2, SCOM: 0, Varonis: 0, Riverbed: 0, Solarwinds: 0, BMC Remedy: 0, Nagios: 0.0, Archsite: 0, NetApp: 0, VMWare: 1
710.7222380816445,870.6261235417862,1.3.1,KeyCloak: 2, Ping: 2, OpenText Encase Endpoint Security/Manager: 1, Microsoft Sysmon: 0, Tychon: 2, Forescout: 0.0, Trellix: 0, Cisco Stealth Watch: 0, Cisco Identity Service Engine (ISE): 0, DISA CSSP: 0, Security Onion: 0, Microsoft Endpoint Configuration Manager (MECM): 0, Microsoft Advanced Threat Analytics: 0, ZeroFOX Executive Protection: 0.0, DomainTools Enterprise Membership: 0, PortSwigger Burp Suite: 0, ThreatQuotient Threat Intelligence Platform: 0, Splunk SIEM Enterprise Security: 0, ArcSight AreSight Enterprise Security Manager Maintenance and Support: 0, Gigamon Network Taps: 0, Swimlane SOAR: 0, LiveAction: 0, RecordedFuture Threat Intelligence: 0, Titus for Office: 0, Fortinet FortiGate: 0, F5 Networks BIG-IP: 1, SCOM: 0, Varonis: 0, Riverbed: 0, Solarwinds: 0, BMC Remedy: 0, Nagios: 0.0, Archsite: 0, NetApp: 0, VMWare: 0
702.6286040536684,855.4798240581373,1.4.1,KeyCloak: 1, Ping: 2, OpenText Encase Endpoint Security/Manager: 0, Microsoft Sysmon: 0, Tychon: 1, Forescout: 0.0, Trellix: 0, Cisco Stealth Watch: 0, Cisco Identity Service Engine (ISE): 0, DISA CSSP: 0, Security Onion: 0, Microsoft Endpoint Configuration Manager (MECM): 0, Microsoft Advanced Threat Analytics: 0, ZeroFOX Executive Protection: 0.0, DomainTools Enterprise Membership: 0, PortSwigger Burp Suite: 0, ThreatQuotient Threat Intelligence Platform: 0, Splunk SIEM Enterprise Security: 0, ArcSight AreSight Enterprise Security Manager Maintenance and Support: 0, Gigamon Network Taps: 0, Swimlane SOAR: 0, LiveAction: 0, RecordedFuture Threat Intelligence: 0, Titus for Office: 0, Fortinet FortiGate: 0, F5 Networks BIG-IP: 1, SCOM: 0, Varonis: 0, Riverbed: 0, Solarwinds: 0, BMC Remedy: 0, Nagios: 0.0, Archsite: 0, NetApp: 0, VMWare: 0
698.5817870396804,840.3335245744884,1.5.1,KeyCloak: 2, Ping: 2, OpenText Encase Endpoint Security/Manager: 0, Microsoft Sysmon: 0, Tychon: 1, Forescout: 0.0, Trellix: 0, Cisco Stealth Watch: 0, Cisco Identity Service Engine (ISE): 1, DISA CSSP: 0, Security Onion: 0, Microsoft Endpoint Configuration Manager (MECM): 0, Microsoft Advanced Threat Analytics: 0, ZeroFOX Executive Protection: 0.0, DomainTools Enterprise Membership: 0, PortSwigger Burp Suite: 0, ThreatQuotient Threat Intelligence Platform: 0, Splunk SIEM Enterprise Security: 0, ArcSight AreSight Enterprise Security Manager Maintenance and Support: 0, Gigamon Network Taps: 0, Swimlane SOAR: 0, LiveAction: 0, RecordedFuture Threat Intelligence: 0, Titus for Office: 0, Fortinet FortiGate: 0, F5 Networks BIG-IP: 0, SCOM: 0, Varonis: 0, Riverbed: 0, Solarwinds: 0, BMC Remedy: 0, Nagios: 0.0, Archsite: 0, NetApp: 0, VMWare: 0
687.4530402512132,822.6628418435647,1.7.1,KeyCloak: 2, Ping: 2, OpenText Encase Endpoint Security/Manager: 1, Microsoft Sysmon: 0, Tychon: 1, Forescout: 0.0, Trellix: 2, Cisco Stealth Watch: 2, Cisco Identity Service Engine (ISE): 0, DISA CSSP: 0, Security Onion: 0, Microsoft Endpoint Configuration Manager (MECM): 0, Microsoft Advanced Threat Analytics: 0, ZeroFOX Executive Protection: 0.0, DomainTools Enterprise Membership: 0, PortSwigger Burp Suite: 0, ThreatQuotient Threat Intelligence Platform: 0, Splunk SIEM Enterprise Security: 0, ArcSight AreSight Enterprise Security Manager Maintenance and Support: 0, Gigamon Network Taps: 0, Swimlane SOAR: 0, LiveAction: 0, RecordedFuture Threat Intelligence: 0, Titus for Office: 0, Fortinet FortiGate: 1, F5 Networks BIG-IP: 1, SCOM: 0, Varonis: 0, Riverbed: 0, Solarwinds: 0, BMC Remedy: 0, Nagios: 0.0, Archsite: 0, NetApp: 0, VMWare: 0
682.3945189837284,810.0409256071906,1.8.1,KeyCloak: 2, Ping: 2, OpenText Encase Endpoint Security/Manager: 2, Microsoft Sysmon: 1, Tychon: 1, Forescout: 1.0, Trellix: 0, Cisco Stealth Watch: 0, Cisco Identity Service Engine (ISE): 0, DISA CSSP: 0, Security Onion: 0, Microsoft Endpoint Configuration Manager (MECM): 0, Microsoft Advanced Threat Analytics: 0, ZeroFOX Executive Protection: 0.0, DomainTools Enterprise Membership: 0, PortSwigger Burp Suite: 0, ThreatQuotient Threat Intelligence Platform: 0, Splunk SIEM Enterprise Security: 0, ArcSight AreSight Enterprise Security Manager Maintenance and Support: 0, Gigamon Network Taps: 0, Swimlane SOAR: 0, LiveAction: 0, RecordedFuture Threat Intelligence: 0, Titus for Office: 0, Fortinet FortiGate: 1, F5 Networks BIG-IP: 1, SCOM: 0, Varonis: 0, Riverbed: 0, Solarwinds: 0, BMC Remedy: 0, Nagios: 0.0, Archsite: 0, NetApp: 0, VMWare: 1
1038.5144162146732,895.0284949321094,1.4.2,KeyCloak: 1, Ping: 2, OpenText Encase Endpoint Security/Manager: 0, Microsoft Sysmon: 0, Tychon: 1, Forescout: 0.0, Trellix: 0, Cisco Stealth Watch: 0, Cisco Identity Service Engine (ISE): 0, DISA CSSP: 0, Security Onion: 0, Microsoft Endpoint Configuration Manager (MECM): 0, Microsoft Advanced Threat Analytics: 0, ZeroFOX Executive Protection: 0.0, DomainTools Enterprise Membership: 0, PortSwigger Burp Suite: 0, ThreatQuotient Threat Intelligence Platform: 0, Splunk SIEM Enterprise Security: 0, ArcSight AreSight Enterprise Security Manager Maintenance and Support: 0, Gigamon Network Taps: 0, Swimlane SOAR: 0, LiveAction: 0, RecordedFuture Threat Intelligence: 0, Titus for Office: 0, Fortinet FortiGate: 0, F5 Networks BIG-IP: 1, SCOM: 0, Varonis: 0, Riverbed: 0, Solarwinds: 0, BMC Remedy: 0, Nagios: 0.0, Archsite: 0, NetApp: 0, VMWare: 0
1038.5144162146732,855.4798240581373,1.5.2,KeyCloak: 2, Ping: 2, OpenText Encase Endpoint Security/Manager: 0, Microsoft Sysmon: 0, Tychon: 1, Forescout: 0.0, Trellix: 0, Cisco Stealth Watch: 0, Cisco Identity Service Engine (ISE): 0, DISA CSSP: 0, Security Onion: 0, Microsoft Endpoint Configuration Manager (MECM): 0, Microsoft Advanced Threat Analytics: 0, ZeroFOX Executive Protection: 0.0, DomainTools Enterprise Membership: 0, PortSwigger Burp Suite: 0, ThreatQuotient Threat Intelligence Platform: 0, Splunk SIEM Enterprise Security: 0, ArcSight AreSight Enterprise Security Manager Maintenance and Support: 0, Gigamon Network Taps: 0, Swimlane SOAR: 0, LiveAction: 0, RecordedFuture Threat Intelligence: 0, Titus for Office: 0, Fortinet FortiGate: 0, F5 Networks BIG-IP: 0, SCOM: 0, Varonis: 0, Riverbed: 0, Solarwinds: 0, BMC Remedy: 0, Nagios: 0.0, Archsite: 0, NetApp: 0, VMWare: 0
1036.4910077076793,815.9311531841652,1.6.1,KeyCloak: 2, Ping: 1, OpenText Encase Endpoint Security/Manager: 0, Microsoft Sysmon: 0, Tychon: 0, Forescout: 0.0, Trellix: 0, Cisco Stealth Watch: 0, Cisco Identity Service Engine (ISE): 1, DISA CSSP: 0, Security Onion: 0, Microsoft Endpoint Configuration Manager (MECM): 0, Microsoft Advanced Threat Analytics: 0, ZeroFOX Executive Protection: 0.0, DomainTools Enterprise Membership: 0, PortSwigger Burp Suite: 0, ThreatQuotient Threat Intelligence Platform: 0, Splunk SIEM Enterprise Security: 1, ArcSight AreSight Enterprise Security Manager Maintenance and Support: 1, Gigamon Network Taps: 1, Swimlane SOAR: 1, LiveAction: 1, RecordedFuture Threat Intelligence: 0, Titus for Office: 1, Fortinet FortiGate: 1, F5 Networks BIG-IP: 1, SCOM: 0, Varonis: 1, Riverbed: 1, Solarwinds: 1, BMC Remedy: 0, Nagios: 1.0, Archsite: 0, NetApp: 0, VMWare: 1
